Epoch,d_loss,g_loss,d_score,g_score,psnr,ssim,loss_ratio,learning_rate
24,1.0,0.004487512686173431,1.0,1.0,23.601872161979482,0.7317389088869095,0.004487512686173431,0.001
25,1.0000000015894572,0.004360964618002375,0.9999999984105428,1.0,24.20109152252843,0.7311162729263305,0.004360964611070809,0.001
26,1.0,0.004454218973405659,1.0,1.0,24.376514973073768,0.7220196213722229,0.004454218973405659,0.001
27,0.9999999972184499,0.004360153432935476,1.0,0.9999999972184499,23.822066734498264,0.7413181277513504,0.004360153445063461,0.001
28,1.0,0.00422558308346197,1.0,1.0,23.315615105091045,0.7409608246088027,0.00422558308346197,0.001
29,1.0,0.004348173229955137,1.0,1.0,23.548743833411663,0.7371024503707886,0.004348173229955137,0.001
30,1.0,0.004148974733155531,1.0,1.0,24.515723848915215,0.7424653939008713,0.004148974733155531,0.001
31,1.0,0.0044625358029346295,1.0,1.0,19.478410540483996,0.7034345940351486,0.0044625358029346295,0.001
32,1.0,0.004450076778884977,1.0,1.0,24.416891600022787,0.7419932596683502,0.004450076778884977,0.001
33,1.0,0.004215192603684651,1.0,1.0,22.00764476377755,0.7170792337656021,0.004215192603684651,0.001
34,1.0,0.004320743151280718,1.0,1.0,24.416884996234025,0.7351515372991562,0.004320743151280718,0.001
35,1.0,0.004291054155716362,1.0,1.0,24.248582359970953,0.7360283238887787,0.004291054155716362,0.001
36,1.0,0.004223546130039418,1.0,1.0,22.525715748394862,0.7390376467704773,0.004223546130039418,0.001
37,1.0,0.004032588511472568,1.0,1.0,24.417847275942812,0.7477775702476501,0.004032588511472568,0.001
38,1.0,0.004192247249108429,1.0,1.0,24.323938893327405,0.7373762587308884,0.004192247249108429,0.001
39,1.0,0.004371980091867347,1.0,1.0,20.938013952466584,0.7048652521371841,0.004371980091867347,0.001
40,1.0,0.0041429911839077245,1.0,1.0,24.673324535684863,0.7472228370904922,0.0041429911839077245,0.001
41,1.0,0.004287850555265323,1.0,1.0,24.349390536663673,0.744568036198616,0.004287850555265323,0.001
42,1.0,0.004180165161378682,1.0,1.0,24.670746401790353,0.7492342106103898,0.004180165161378682,0.001
43,1.0,0.00404093433287926,1.0,1.0,22.566538492546133,0.7315820871591568,0.00404093433287926,0.001
44,1.0,0.00426625728723593,1.0,1.0,24.453114248513074,0.7480348898172379,0.00426625728723593,0.001
45,1.0,0.004186961619998328,1.0,1.0,24.74525857581185,0.7486540001630783,0.004186961619998328,0.001
46,1.0,0.004098383640327181,1.0,1.0,24.530897771356987,0.7511720625162125,0.004098383640327181,0.001
47,1.0,0.004244113341361905,1.0,1.0,24.245887393454044,0.7464923609495163,0.004244113341361905,0.001
48,1.0,0.004235578201284322,0.9999999998013178,1.0,24.89899237547588,0.7505429418087005,0.004235578201284322,0.001
49,1.0,0.004004400038393214,1.0,1.0,24.56642795129893,0.7477166595458984,0.004004400038393214,0.001
50,1.0,0.004150641979261612,1.0,1.0,23.27959202583113,0.7402114923000336,0.004150641979261612,0.001
51,1.0,0.004017669471989696,1.0,1.0,24.381286233202623,0.7487453838586807,0.004017669471989696,0.001
52,1.0,0.004269791328891491,1.0,1.0,24.711724012364332,0.7502051448822021,0.004269791328891491,0.001
53,1.0,0.004148022866769073,1.0,1.0,24.62211258844568,0.7455115298032761,0.004148022866769073,0.001
54,1.0,0.004071294315702592,1.0,1.0,24.618105647260855,0.7549489740133285,0.004071294315702592,0.001
55,1.0,0.003993742109742016,1.0,1.0,24.826158078665976,0.750368776679039,0.003993742109742016,0.001
56,1.0,0.0038551059439002225,1.0,1.0,24.819161491236503,0.7508107112646103,0.0038551059439002225,0.001
